trace_id,episode_id,model,training_seed,evaluation_seed,round_index,partner_adaptivity,focal_action,focal_payoff,forecast,forecast_target,ema_forecast,group_size,p_cc,p_cd,p_dc,p_dd
trace-01,synthetic-A-1101,A,1101,,1,adaptive,C,1.0,0.5,1.0,0.5,1,1.0,0.0,0.0,0.0
trace-01,synthetic-A-1101,A,1101,,2,adaptive,C,1.0,0.5,1.0,0.6000000000000001,1,1.0,0.0,0.0,0.0
trace-01,synthetic-A-1101,A,1101,,3,adaptive,D,2.0,0.5,1.0,0.6800000000000002,1,0.0,0.0,1.0,0.0
trace-01,synthetic-A-1101,A,1101,,4,adaptive,C,1.0,0.5,1.0,0.7440000000000002,1,1.0,0.0,0.0,0.0
trace-01,synthetic-A-1101,A,1101,,5,adaptive,C,-1.0,0.5,0.0,0.7952000000000001,1,0.0,1.0,0.0,0.0
trace-01,synthetic-A-1101,A,1101,,6,adaptive,D,2.0,0.5,1.0,0.6361600000000002,1,0.0,0.0,1.0,0.0
trace-01,synthetic-A-1101,A,1101,,7,nonadaptive,C,1.0,0.5,1.0,0.7089280000000002,1,1.0,0.0,0.0,0.0
trace-01,synthetic-A-1101,A,1101,,8,nonadaptive,C,1.0,0.5,1.0,0.7671424000000002,1,1.0,0.0,0.0,0.0
trace-01,synthetic-A-1101,A,1101,,9,nonadaptive,D,2.0,0.5,1.0,0.8137139200000003,1,0.0,0.0,1.0,0.0
trace-01,synthetic-A-1101,A,1101,,10,nonadaptive,C,1.0,0.5,1.0,0.8509711360000003,1,1.0,0.0,0.0,0.0
trace-02,synthetic-A-1102,A,1102,,1,adaptive,C,2.0,0.5,1.0,0.5,1,1.0,0.0,0.0,0.0
trace-02,synthetic-A-1102,A,1102,,2,adaptive,C,2.0,0.5,1.0,0.6000000000000001,1,1.0,0.0,0.0,0.0
trace-02,synthetic-A-1102,A,1102,,3,adaptive,D,3.0,0.5,1.0,0.6800000000000002,1,0.0,0.0,1.0,0.0
trace-02,synthetic-A-1102,A,1102,,4,adaptive,C,2.0,0.5,1.0,0.7440000000000002,1,1.0,0.0,0.0,0.0
trace-02,synthetic-A-1102,A,1102,,5,adaptive,C,-1.0,0.5,0.0,0.7952000000000001,1,0.0,1.0,0.0,0.0
trace-02,synthetic-A-1102,A,1102,,6,adaptive,D,3.0,0.5,1.0,0.6361600000000002,1,0.0,0.0,1.0,0.0
trace-02,synthetic-A-1102,A,1102,,7,nonadaptive,C,-1.0,0.5,0.0,0.7089280000000002,1,0.0,1.0,0.0,0.0
trace-02,synthetic-A-1102,A,1102,,8,nonadaptive,C,-1.0,0.5,0.0,0.5671424000000002,1,0.0,1.0,0.0,0.0
trace-02,synthetic-A-1102,A,1102,,9,nonadaptive,D,0.0,0.5,0.0,0.45371392000000016,1,0.0,0.0,0.0,1.0
trace-02,synthetic-A-1102,A,1102,,10,nonadaptive,C,-1.0,0.5,0.0,0.36297113600000014,1,0.0,1.0,0.0,0.0
trace-03,synthetic-A-1103,A,1103,,1,nonadaptive,C,-1.0,0.5,0.0,0.5,1,0.0,1.0,0.0,0.0
trace-03,synthetic-A-1103,A,1103,,2,nonadaptive,C,-1.0,0.5,0.0,0.4,1,0.0,1.0,0.0,0.0
trace-03,synthetic-A-1103,A,1103,,3,nonadaptive,D,0.0,0.5,0.0,0.32000000000000006,1,0.0,0.0,0.0,1.0
trace-03,synthetic-A-1103,A,1103,,4,nonadaptive,C,-1.0,0.5,0.0,0.25600000000000006,1,0.0,1.0,0.0,0.0
trace-03,synthetic-A-1103,A,1103,,5,nonadaptive,C,-1.0,0.5,0.0,0.20480000000000007,1,0.0,1.0,0.0,0.0
trace-03,synthetic-A-1103,A,1103,,6,nonadaptive,D,0.0,0.5,0.0,0.16384000000000007,1,0.0,0.0,0.0,1.0
trace-03,synthetic-A-1103,A,1103,,7,adaptive,C,4.0,0.5,1.0,0.13107200000000005,1,1.0,0.0,0.0,0.0
trace-03,synthetic-A-1103,A,1103,,8,adaptive,C,4.0,0.5,1.0,0.30485760000000006,1,1.0,0.0,0.0,0.0
trace-03,synthetic-A-1103,A,1103,,9,adaptive,D,5.0,0.5,1.0,0.44388608000000007,1,0.0,0.0,1.0,0.0
trace-03,synthetic-A-1103,A,1103,,10,adaptive,C,4.0,0.5,1.0,0.5551088640000001,1,1.0,0.0,0.0,0.0
trace-04,synthetic-B-1101,B,1101,,1,adaptive,C,1.0,0.8,1.0,0.5,1,1.0,0.0,0.0,0.0
trace-04,synthetic-B-1101,B,1101,,2,adaptive,C,1.0,0.8,1.0,0.6000000000000001,1,1.0,0.0,0.0,0.0
trace-04,synthetic-B-1101,B,1101,,3,adaptive,C,1.0,0.8,1.0,0.6800000000000002,1,1.0,0.0,0.0,0.0
trace-04,synthetic-B-1101,B,1101,,4,adaptive,C,1.0,0.8,1.0,0.7440000000000002,1,1.0,0.0,0.0,0.0
trace-04,synthetic-B-1101,B,1101,,5,adaptive,D,0.0,0.8,0.0,0.7952000000000001,1,0.0,0.0,0.0,1.0
trace-04,synthetic-B-1101,B,1101,,6,adaptive,C,1.0,0.8,1.0,0.6361600000000002,1,1.0,0.0,0.0,0.0
trace-04,synthetic-B-1101,B,1101,,7,nonadaptive,C,1.0,0.8,1.0,0.7089280000000002,1,1.0,0.0,0.0,0.0
trace-04,synthetic-B-1101,B,1101,,8,nonadaptive,C,1.0,0.8,1.0,0.7671424000000002,1,1.0,0.0,0.0,0.0
trace-04,synthetic-B-1101,B,1101,,9,nonadaptive,C,1.0,0.8,1.0,0.8137139200000003,1,1.0,0.0,0.0,0.0
trace-04,synthetic-B-1101,B,1101,,10,nonadaptive,C,1.0,0.8,1.0,0.8509711360000003,1,1.0,0.0,0.0,0.0
trace-05,synthetic-B-1102,B,1102,,1,adaptive,C,2.0,0.8,1.0,0.5,1,1.0,0.0,0.0,0.0
trace-05,synthetic-B-1102,B,1102,,2,adaptive,C,2.0,0.8,1.0,0.6000000000000001,1,1.0,0.0,0.0,0.0
trace-05,synthetic-B-1102,B,1102,,3,adaptive,C,2.0,0.8,1.0,0.6800000000000002,1,1.0,0.0,0.0,0.0
trace-05,synthetic-B-1102,B,1102,,4,adaptive,C,2.0,0.8,1.0,0.7440000000000002,1,1.0,0.0,0.0,0.0
trace-05,synthetic-B-1102,B,1102,,5,adaptive,D,0.0,0.8,0.0,0.7952000000000001,1,0.0,0.0,0.0,1.0
trace-05,synthetic-B-1102,B,1102,,6,adaptive,C,2.0,0.8,1.0,0.6361600000000002,1,1.0,0.0,0.0,0.0
trace-05,synthetic-B-1102,B,1102,,7,nonadaptive,C,-1.0,0.8,0.0,0.7089280000000002,1,0.0,1.0,0.0,0.0
trace-05,synthetic-B-1102,B,1102,,8,nonadaptive,C,-1.0,0.8,0.0,0.5671424000000002,1,0.0,1.0,0.0,0.0
trace-05,synthetic-B-1102,B,1102,,9,nonadaptive,C,-1.0,0.8,0.0,0.45371392000000016,1,0.0,1.0,0.0,0.0
trace-05,synthetic-B-1102,B,1102,,10,nonadaptive,C,-1.0,0.8,0.0,0.36297113600000014,1,0.0,1.0,0.0,0.0
trace-06,synthetic-B-1103,B,1103,,1,nonadaptive,C,-1.0,0.8,0.0,0.5,1,0.0,1.0,0.0,0.0
trace-06,synthetic-B-1103,B,1103,,2,nonadaptive,C,-1.0,0.8,0.0,0.4,1,0.0,1.0,0.0,0.0
trace-06,synthetic-B-1103,B,1103,,3,nonadaptive,C,-1.0,0.8,0.0,0.32000000000000006,1,0.0,1.0,0.0,0.0
trace-06,synthetic-B-1103,B,1103,,4,nonadaptive,C,-1.0,0.8,0.0,0.25600000000000006,1,0.0,1.0,0.0,0.0
trace-06,synthetic-B-1103,B,1103,,5,nonadaptive,D,0.0,0.8,0.0,0.20480000000000007,1,0.0,0.0,0.0,1.0
trace-06,synthetic-B-1103,B,1103,,6,nonadaptive,C,-1.0,0.8,0.0,0.16384000000000007,1,0.0,1.0,0.0,0.0
trace-06,synthetic-B-1103,B,1103,,7,adaptive,C,4.0,0.8,1.0,0.13107200000000005,1,1.0,0.0,0.0,0.0
trace-06,synthetic-B-1103,B,1103,,8,adaptive,C,4.0,0.8,1.0,0.30485760000000006,1,1.0,0.0,0.0,0.0
trace-06,synthetic-B-1103,B,1103,,9,adaptive,C,4.0,0.8,1.0,0.44388608000000007,1,1.0,0.0,0.0,0.0
trace-06,synthetic-B-1103,B,1103,,10,adaptive,C,4.0,0.8,1.0,0.5551088640000001,1,1.0,0.0,0.0,0.0
trace-07,synthetic-D-1101,D,1101,,1,adaptive,C,1.0,0.4,1.0,0.5,1,1.0,0.0,0.0,0.0
trace-07,synthetic-D-1101,D,1101,,2,adaptive,D,2.0,0.4,1.0,0.6000000000000001,1,0.0,0.0,1.0,0.0
trace-07,synthetic-D-1101,D,1101,,3,adaptive,C,1.0,0.4,1.0,0.6800000000000002,1,1.0,0.0,0.0,0.0
trace-07,synthetic-D-1101,D,1101,,4,adaptive,D,2.0,0.4,1.0,0.7440000000000002,1,0.0,0.0,1.0,0.0
trace-07,synthetic-D-1101,D,1101,,5,adaptive,C,-1.0,0.4,0.0,0.7952000000000001,1,0.0,1.0,0.0,0.0
trace-07,synthetic-D-1101,D,1101,,6,adaptive,D,2.0,0.4,1.0,0.6361600000000002,1,0.0,0.0,1.0,0.0
trace-07,synthetic-D-1101,D,1101,,7,nonadaptive,C,1.0,0.4,1.0,0.7089280000000002,1,1.0,0.0,0.0,0.0
trace-07,synthetic-D-1101,D,1101,,8,nonadaptive,D,2.0,0.4,1.0,0.7671424000000002,1,0.0,0.0,1.0,0.0
trace-07,synthetic-D-1101,D,1101,,9,nonadaptive,C,1.0,0.4,1.0,0.8137139200000003,1,1.0,0.0,0.0,0.0
trace-07,synthetic-D-1101,D,1101,,10,nonadaptive,D,2.0,0.4,1.0,0.8509711360000003,1,0.0,0.0,1.0,0.0
trace-08,synthetic-D-1102,D,1102,,1,adaptive,C,2.0,0.4,1.0,0.5,1,1.0,0.0,0.0,0.0
trace-08,synthetic-D-1102,D,1102,,2,adaptive,D,3.0,0.4,1.0,0.6000000000000001,1,0.0,0.0,1.0,0.0
trace-08,synthetic-D-1102,D,1102,,3,adaptive,C,2.0,0.4,1.0,0.6800000000000002,1,1.0,0.0,0.0,0.0
trace-08,synthetic-D-1102,D,1102,,4,adaptive,D,3.0,0.4,1.0,0.7440000000000002,1,0.0,0.0,1.0,0.0
trace-08,synthetic-D-1102,D,1102,,5,adaptive,C,-1.0,0.4,0.0,0.7952000000000001,1,0.0,1.0,0.0,0.0
trace-08,synthetic-D-1102,D,1102,,6,adaptive,D,3.0,0.4,1.0,0.6361600000000002,1,0.0,0.0,1.0,0.0
trace-08,synthetic-D-1102,D,1102,,7,nonadaptive,C,-1.0,0.4,0.0,0.7089280000000002,1,0.0,1.0,0.0,0.0
trace-08,synthetic-D-1102,D,1102,,8,nonadaptive,D,0.0,0.4,0.0,0.5671424000000002,1,0.0,0.0,0.0,1.0
trace-08,synthetic-D-1102,D,1102,,9,nonadaptive,C,-1.0,0.4,0.0,0.45371392000000016,1,0.0,1.0,0.0,0.0
trace-08,synthetic-D-1102,D,1102,,10,nonadaptive,D,0.0,0.4,0.0,0.36297113600000014,1,0.0,0.0,0.0,1.0
trace-09,synthetic-D-1103,D,1103,,1,nonadaptive,C,-1.0,0.4,0.0,0.5,1,0.0,1.0,0.0,0.0
trace-09,synthetic-D-1103,D,1103,,2,nonadaptive,D,0.0,0.4,0.0,0.4,1,0.0,0.0,0.0,1.0
trace-09,synthetic-D-1103,D,1103,,3,nonadaptive,C,-1.0,0.4,0.0,0.32000000000000006,1,0.0,1.0,0.0,0.0
trace-09,synthetic-D-1103,D,1103,,4,nonadaptive,D,0.0,0.4,0.0,0.25600000000000006,1,0.0,0.0,0.0,1.0
trace-09,synthetic-D-1103,D,1103,,5,nonadaptive,C,-1.0,0.4,0.0,0.20480000000000007,1,0.0,1.0,0.0,0.0
